City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,Boa Vista,2.8197,-60.6733,89.58,55,40,10.36,BR,2021-10-03 15:47:42
215,Kolo,52.2002,18.6387,67.98,54,77,10.16,PL,2021-10-03 15:47:42
216,Omsukchan,62.5333,155.8,26.96,94,100,11.3,RU,2021-10-03 15:47:43
217,Roebourne,-20.7833,117.1333,71.96,53,0,10.67,AU,2021-10-03 15:47:43
218,Mandalgovi,45.7625,106.2708,35.31,55,25,3.87,MN,2021-10-03 15:47:44
219,Inhambane,-23.865,35.3833,77.0,94,75,20.0,MZ,2021-10-03 15:47:44
220,Tucson,32.2217,-110.9265,83.43,40,1,1.99,US,2021-10-03 15:46:47
221,Pevek,69.7008,170.3133,22.59,90,99,9.78,RU,2021-10-03 15:47:44
222,Ituiutaba,-18.9689,-49.465,97.45,27,4,10.92,BR,2021-10-03 15:47:45
223,Uvat,59.1433,68.8953,30.61,92,90,8.66,RU,2021-10-03 15:47:45
224,Fortuna,40.5982,-124.1573,52.14,100,90,0.0,US,2021-10-03 15:47:45
225,Batagay-Alyta,67.8006,130.4114,21.38,83,93,2.13,RU,2021-10-03 15:47:46
226,Fallon,39.4735,-118.7774,46.27,27,1,0.0,US,2021-10-03 15:47:46
227,Antalaha,-14.9003,50.2788,72.23,87,13,7.43,MG,2021-10-03 15:47:47
228,Lavrentiya,65.5833,-171.0,23.95,75,88,3.89,RU,2021-10-03 15:47:47
229,Dingle,10.9995,122.6711,76.21,94,100,5.68,PH,2021-10-03 15:47:47
230,Georgetown,5.4112,100.3354,84.88,85,20,1.99,MY,2021-10-03 15:47:48
231,Talavera De La Reina,39.9635,-4.8308,64.54,59,85,6.85,ES,2021-10-03 15:47:48
232,Le Port,-20.9373,55.2919,75.2,76,23,6.85,RE,2021-10-03 15:47:48
233,Uruzgan,32.8333,66.0,64.44,26,0,3.78,AF,2021-10-03 15:47:49
234,Iguguno,-4.5697,34.6275,83.17,26,98,7.31,TZ,2021-10-03 15:47:49
235,Launceston,-41.45,147.1667,55.04,94,90,8.05,AU,2021-10-03 15:47:49
236,Vardo,70.3705,31.1107,50.2,76,0,27.63,NO,2021-10-03 15:47:50
237,Nouadhibou,20.931,-17.0347,76.98,73,4,19.57,MR,2021-10-03 15:47:50
238,Teya,60.3778,92.6267,33.37,98,99,3.6,RU,2021-10-03 15:47:50
239,Nyaunglebin,17.95,96.7333,75.34,95,34,3.91,MM,2021-10-03 15:47:51
240,Havoysund,70.9963,24.6622,52.68,75,100,26.02,NO,2021-10-03 15:47:51
241,Angarsk,52.5367,103.8864,34.52,83,99,3.02,RU,2021-10-03 15:47:51
242,Palmares Do Sul,-30.2578,-50.5097,65.14,90,100,8.68,BR,2021-10-03 15:47:52
243,Longyearbyen,78.2186,15.6401,39.04,87,75,8.05,SJ,2021-10-03 15:47:52
244,Ekibastuz,51.6667,75.3667,42.31,68,100,4.03,KZ,2021-10-03 15:47:52
245,Uvinza,-5.1036,30.3911,76.17,63,97,6.29,TZ,2021-10-03 15:47:53
246,Alice Springs,-23.7,133.8833,60.35,36,0,0.0,AU,2021-10-03 15:47:53
247,Sarab,38.6066,44.9883,64.92,42,9,3.42,IR,2021-10-03 15:47:53
248,Nalut,30.3333,10.85,87.24,20,0,7.31,LY,2021-10-03 15:47:54
249,Kalabagh,32.965,71.557,90.81,44,0,6.17,PK,2021-10-03 15:47:54
250,Lerwick,60.1545,-1.1494,51.8,78,43,41.54,GB,2021-10-03 15:47:54
251,Tarakan,3.3,117.6333,79.57,82,94,3.91,ID,2021-10-03 15:45:18
252,Broken Hill,-31.95,141.4333,55.11,47,0,10.36,AU,2021-10-03 15:47:55
253,Atambua,-9.1061,124.8925,73.11,84,71,2.93,ID,2021-10-03 15:46:13
254,Verkhnevilyuysk,63.4453,120.3167,27.95,76,32,3.04,RU,2021-10-03 15:47:55
255,Narsaq,60.9167,-46.05,46.62,45,1,3.78,GL,2021-10-03 15:47:56
256,Wawa,9.9022,4.4192,87.49,62,27,3.67,NG,2021-10-03 15:47:56
257,Paita,-5.0892,-81.1144,70.36,69,34,12.53,PE,2021-10-03 15:47:56
